Freq,A-007 @ Full_Baseline/Full_Baseline/timefreq_psd_230727_0828.mat,A-008 @ Full_Baseline/Full_Baseline/timefreq_psd_230727_0828.mat,A-015 @ Full_Baseline/Full_Baseline/timefreq_psd_230727_0828.mat,A-023 @ Full_Baseline/Full_Baseline/timefreq_psd_230727_0828.mat,A-031 @ Full_Baseline/Full_Baseline/timefreq_psd_230727_0828.mat
0,-2.53E+00,-1.14E+01,-4.04E-01,-6.39E+00,-4.38E+00
1,5.78E+00,-6.45E-01,8.01E+00,4.20E+00,3.77E+00
2,2.68E+00,-3.49E+00,6.22E+00,5.82E-01,1.20E+00
3,-3.07E+00,-5.95E+00,5.41E-01,-3.94E+00,-3.21E+00
4,-7.41E+00,-7.51E+00,-2.83E+00,-4.25E+00,-5.88E+00
5,-3.87E+00,-6.49E+00,-8.12E-01,-5.01E+00,-7.31E+00
6,2.08E+00,-1.58E+00,5.14E+00,-5.76E+00,-7.82E+00
7,-4.99E+00,-7.37E+00,-1.41E+00,-7.09E+00,-9.93E+00
8,-1.32E+01,-1.16E+01,-6.97E+00,-6.96E+00,-1.10E+01
9,-1.34E+01,-1.26E+01,-7.50E+00,-7.03E+00,-1.15E+01
10,-1.44E+01,-1.25E+01,-7.13E+00,-6.48E+00,-1.14E+01
11,-8.35E+00,-1.12E+01,-3.24E+00,-5.54E+00,-1.15E+01
12,-4.06E+00,-7.76E+00,9.58E-01,-4.94E+00,-1.18E+01
13,-1.15E+01,-1.19E+01,-4.30E+00,-5.39E+00,-1.28E+01
14,-1.57E+01,-1.30E+01,-6.22E+00,-5.88E+00,-1.23E+01
15,-1.59E+01,-1.37E+01,-8.31E+00,-7.20E+00,-1.26E+01
16,-1.58E+01,-1.45E+01,-9.41E+00,-8.92E+00,-1.42E+01
17,-1.29E+01,-1.41E+01,-7.49E+00,-9.44E+00,-1.40E+01
18,-9.50E+00,-1.27E+01,-4.33E+00,-9.44E+00,-1.31E+01
19,-1.46E+01,-1.47E+01,-9.34E+00,-9.36E+00,-1.42E+01
20,-1.63E+01,-1.56E+01,-1.01E+01,-9.01E+00,-1.46E+01
21,-1.71E+01,-1.56E+01,-1.21E+01,-1.12E+01,-1.52E+01
22,-1.75E+01,-1.58E+01,-1.32E+01,-1.29E+01,-1.50E+01
23,-1.68E+01,-1.53E+01,-1.20E+01,-1.28E+01,-1.62E+01
24,-1.57E+01,-1.47E+01,-1.01E+01,-1.28E+01,-1.53E+01
25,-1.88E+01,-1.69E+01,-1.44E+01,-1.36E+01,-1.66E+01
26,-1.95E+01,-1.61E+01,-1.49E+01,-1.34E+01,-1.71E+01
27,-1.93E+01,-1.69E+01,-1.44E+01,-1.32E+01,-1.67E+01
28,-1.91E+01,-1.75E+01,-1.53E+01,-1.37E+01,-1.78E+01
29,-1.71E+01,-1.77E+01,-1.33E+01,-1.46E+01,-1.80E+01
30,-1.59E+01,-1.67E+01,-1.20E+01,-1.48E+01,-1.80E+01
31,-1.91E+01,-1.84E+01,-1.65E+01,-1.48E+01,-1.80E+01
32,-1.89E+01,-2.02E+01,-1.62E+01,-1.53E+01,-1.84E+01
33,-1.89E+01,-1.91E+01,-1.66E+01,-1.63E+01,-1.93E+01
34,-2.00E+01,-1.93E+01,-1.74E+01,-1.64E+01,-1.91E+01
35,-1.96E+01,-2.00E+01,-1.57E+01,-1.64E+01,-1.86E+01
36,-1.87E+01,-1.98E+01,-1.51E+01,-1.74E+01,-1.83E+01
37,-2.04E+01,-1.93E+01,-1.79E+01,-1.74E+01,-1.87E+01
38,-1.93E+01,-1.90E+01,-1.88E+01,-1.76E+01,-1.75E+01
39,-1.90E+01,-1.92E+01,-1.87E+01,-1.79E+01,-1.80E+01
40,-2.02E+01,-1.83E+01,-1.86E+01,-1.85E+01,-1.88E+01
41,-2.07E+01,-1.92E+01,-1.80E+01,-1.86E+01,-1.90E+01
42,-2.00E+01,-1.94E+01,-1.89E+01,-1.81E+01,-1.82E+01
43,-2.00E+01,-1.95E+01,-2.04E+01,-1.84E+01,-1.94E+01
44,-2.04E+01,-1.95E+01,-1.92E+01,-1.91E+01,-2.01E+01
45,-2.13E+01,-1.99E+01,-2.00E+01,-2.00E+01,-2.02E+01
46,-2.06E+01,-2.05E+01,-1.97E+01,-1.97E+01,-1.88E+01
47,-2.04E+01,-2.11E+01,-1.83E+01,-1.88E+01,-1.81E+01
48,-2.11E+01,-2.07E+01,-1.91E+01,-2.00E+01,-2.02E+01
49,-2.10E+01,-2.01E+01,-2.00E+01,-2.01E+01,-2.13E+01
50,-2.10E+01,-2.19E+01,-2.05E+01,-1.98E+01,-2.01E+01
51,-2.12E+01,-2.10E+01,-2.10E+01,-2.13E+01,-2.02E+01
52,-2.12E+01,-2.12E+01,-2.07E+01,-2.14E+01,-2.05E+01
53,-2.13E+01,-2.10E+01,-2.09E+01,-2.01E+01,-2.01E+01
54,-2.10E+01,-2.08E+01,-2.07E+01,-2.10E+01,-2.02E+01
55,-2.21E+01,-2.21E+01,-2.17E+01,-2.06E+01,-1.98E+01
56,-2.21E+01,-2.15E+01,-2.16E+01,-1.99E+01,-2.04E+01
57,-2.15E+01,-1.94E+01,-2.12E+01,-2.10E+01,-2.12E+01
58,-2.11E+01,-2.01E+01,-2.10E+01,-2.16E+01,-2.09E+01
59,-2.22E+01,-2.14E+01,-2.09E+01,-2.07E+01,-2.07E+01
60,-2.21E+01,-2.12E+01,-2.05E+01,-2.08E+01,-2.16E+01
61,-2.20E+01,-2.05E+01,-2.21E+01,-2.03E+01,-2.25E+01
62,-2.27E+01,-2.13E+01,-2.19E+01,-2.11E+01,-2.20E+01
63,-2.22E+01,-2.16E+01,-2.15E+01,-2.14E+01,-2.13E+01
64,-2.19E+01,-2.08E+01,-2.14E+01,-2.08E+01,-2.11E+01
65,-2.27E+01,-2.16E+01,-2.09E+01,-2.09E+01,-2.17E+01
66,-2.12E+01,-2.14E+01,-2.14E+01,-2.10E+01,-2.22E+01
67,-2.25E+01,-2.15E+01,-2.20E+01,-2.14E+01,-2.28E+01
68,-2.25E+01,-2.07E+01,-2.21E+01,-2.21E+01,-2.17E+01
69,-2.11E+01,-2.16E+01,-2.23E+01,-2.14E+01,-2.18E+01
70,-2.15E+01,-2.26E+01,-2.26E+01,-2.10E+01,-2.14E+01
71,-2.26E+01,-2.19E+01,-2.36E+01,-2.17E+01,-2.17E+01
72,-2.27E+01,-2.16E+01,-2.22E+01,-2.32E+01,-2.17E+01
73,-2.25E+01,-2.18E+01,-2.17E+01,-2.14E+01,-2.22E+01
74,-2.25E+01,-2.20E+01,-2.24E+01,-2.13E+01,-2.28E+01
75,-2.28E+01,-2.17E+01,-2.15E+01,-2.08E+01,-2.23E+01
76,-2.25E+01,-2.17E+01,-2.15E+01,-2.14E+01,-2.27E+01
77,-2.28E+01,-2.16E+01,-2.22E+01,-2.18E+01,-2.21E+01
78,-2.39E+01,-2.26E+01,-2.30E+01,-2.36E+01,-2.31E+01
79,-2.29E+01,-2.33E+01,-2.22E+01,-2.25E+01,-2.25E+01
80,-2.30E+01,-2.34E+01,-2.23E+01,-2.22E+01,-2.19E+01
81,-2.33E+01,-2.26E+01,-2.26E+01,-2.31E+01,-2.24E+01
82,-2.35E+01,-2.32E+01,-2.14E+01,-2.34E+01,-2.30E+01
83,-2.36E+01,-2.28E+01,-2.27E+01,-2.28E+01,-2.30E+01
84,-2.35E+01,-2.38E+01,-2.33E+01,-2.23E+01,-2.22E+01
85,-2.20E+01,-2.37E+01,-2.34E+01,-2.35E+01,-2.22E+01
86,-2.29E+01,-2.29E+01,-2.38E+01,-2.20E+01,-2.27E+01
87,-2.23E+01,-2.34E+01,-2.50E+01,-2.18E+01,-2.23E+01
88,-2.27E+01,-2.16E+01,-2.42E+01,-2.34E+01,-2.33E+01
89,-2.27E+01,-2.24E+01,-2.38E+01,-2.30E+01,-2.32E+01
